valid_time,model_level,latitude,longitude,no2,go3
2022-01-01 03:00:00,60.0,43.5,1.75,1.3308738e-08,2.0106942e-08
2022-01-01 03:00:00,60.0,43.5,2.5,1.2089951e-08,2.4371257e-08
2022-01-01 03:00:00,60.0,43.5,3.25,9.894484e-09,3.417102e-08
2022-01-01 03:00:00,60.0,42.75,-9.5,1.3581697e-08,3.3711185e-08
2022-01-01 03:00:00,60.0,42.75,-8.75,1.6202975e-08,2.2325981e-08
2022-01-01 03:00:00,60.0,42.75,-8.0,1.713838e-08,1.7578255e-08
2022-01-01 03:00:00,60.0,42.75,-7.25,2.249423e-08,1.3407767e-08
2022-01-01 03:00:00,60.0,42.75,-6.5,2.6472822e-08,1.3320058e-08
2022-01-01 03:00:00,60.0,42.75,-5.75,2.2725395e-08,2.055933e-08
2022-01-01 03:00:00,60.0,42.75,-5.0,1.6536891e-08,2.6183098e-08
2022-01-01 03:00:00,60.0,42.75,-4.25,1.4262716e-08,2.5816245e-08
2022-01-01 03:00:00,60.0,42.75,-3.5,1.4566477e-08,2.3074836e-08
2022-01-01 03:00:00,60.0,42.75,-2.75,1.5529004e-08,1.9785592e-08
2022-01-01 03:00:00,60.0,42.75,-2.0,1.537316e-08,1.6877468e-08
2022-01-01 03:00:00,60.0,42.75,-1.25,1.3106098e-08,1.942428e-08
2022-01-01 03:00:00,60.0,42.75,-0.5,1.1092143e-08,2.4764308e-08
2022-01-01 03:00:00,60.0,42.75,0.25,1.08145235e-08,2.6424093e-08
2022-01-01 03:00:00,60.0,42.75,1.0,1.0443631e-08,2.6724681e-08
2022-01-01 03:00:00,60.0,42.75,1.75,1.0946564e-08,2.6928735e-08
2022-01-01 03:00:00,60.0,42.75,2.5,1.0250868e-08,2.8830524e-08
2022-01-01 03:00:00,60.0,42.75,3.25,8.018705e-09,3.558068e-08
2022-01-01 03:00:00,60.0,42.0,-9.5,1.1766555e-08,3.6933958e-08
2022-01-01 03:00:00,60.0,42.0,-8.75,1.529714e-08,2.4671873e-08
2022-01-01 03:00:00,60.0,42.0,-8.0,1.7959664e-08,1.5656237e-08
2022-01-01 03:00:00,60.0,42.0,-7.25,1.7994573e-08,1.5942941e-08
2022-01-01 03:00:00,60.0,42.0,-6.5,1.4803233e-08,2.3309507e-08
2022-01-01 03:00:00,60.0,42.0,-5.75,1.2949161e-08,2.8297915e-08
2022-01-01 03:00:00,60.0,42.0,-5.0,1.3699842e-08,2.6540068e-08
2022-01-01 03:00:00,60.0,42.0,-4.25,1.3404093e-08,2.613898e-08
2022-01-01 03:00:00,60.0,42.0,-3.5,1.1167919e-08,2.7807165e-08
2022-01-01 03:00:00,60.0,42.0,-2.75,1.134008e-08,2.5435316e-08
2022-01-01 03:00:00,60.0,42.0,-2.0,1.1918508e-08,2.1251335e-08
2022-01-01 03:00:00,60.0,42.0,-1.25,1.16152234e-08,1.8801476e-08
2022-01-01 03:00:00,60.0,42.0,-0.5,1.0924238e-08,2.017487e-08
2022-01-01 03:00:00,60.0,42.0,0.25,1.2086384e-08,2.1424977e-08
2022-01-01 03:00:00,60.0,42.0,1.0,1.4039883e-08,2.1260636e-08
2022-01-01 03:00:00,60.0,42.0,1.75,1.7443426e-08,1.7582824e-08
2022-01-01 03:00:00,60.0,42.0,2.5,1.975679e-08,1.6207476e-08
2022-01-01 03:00:00,60.0,42.0,3.25,1.4496279e-08,2.7715846e-08
2022-01-01 03:00:00,60.0,41.25,-9.5,1.2019831e-08,3.870073e-08
2022-01-01 03:00:00,60.0,41.25,-8.75,1.6956221e-08,2.5095371e-08
2022-01-01 03:00:00,60.0,41.25,-8.0,1.7264458e-08,1.7227212e-08
2022-01-01 03:00:00,60.0,41.25,-7.25,1.3518043e-08,1.953521e-08
2022-01-01 03:00:00,60.0,41.25,-6.5,1.0329528e-08,2.62981e-08
2022-01-01 03:00:00,60.0,41.25,-5.75,1.1410232e-08,2.7973694e-08
2022-01-01 03:00:00,60.0,41.25,-5.0,1.5404257e-08,2.3386182e-08
2022-01-01 03:00:00,60.0,41.25,-4.25,1.7710871e-08,2.0092191e-08
2022-01-01 03:00:00,60.0,41.25,-3.5,1.5375608e-08,2.2318066e-08
2022-01-01 03:00:00,60.0,41.25,-2.75,1.25716e-08,2.3714843e-08
2022-01-01 03:00:00,60.0,41.25,-2.0,1.0115456e-08,2.4829642e-08
2022-01-01 03:00:00,60.0,41.25,-1.25,9.43104e-09,2.5232278e-08
2022-01-01 03:00:00,60.0,41.25,-0.5,1.1772747e-08,2.3374032e-08
2022-01-01 03:00:00,60.0,41.25,0.25,1.6223634e-08,1.5233741e-08
2022-01-01 03:00:00,60.0,41.25,1.0,1.6404968e-08,1.5718772e-08
2022-01-01 03:00:00,60.0,41.25,1.75,1.6985627e-08,2.2712666e-08
2022-01-01 03:00:00,60.0,41.25,2.5,1.5890802e-08,2.6817435e-08
2022-01-01 03:00:00,60.0,41.25,3.25,1.1239805e-08,3.579655e-08
2022-01-01 03:00:00,60.0,40.5,-9.5,1.0512305e-08,3.833966e-08
2022-01-01 03:00:00,60.0,40.5,-8.75,1.4432767e-08,2.5675643e-08
2022-01-01 03:00:00,60.0,40.5,-8.0,1.4974479e-08,1.8383364e-08
2022-01-01 03:00:00,60.0,40.5,-7.25,1.04934434e-08,2.2738579e-08
2022-01-01 03:00:00,60.0,40.5,-6.5,9.001439e-09,2.8369865e-08
2022-01-01 03:00:00,60.0,40.5,-5.75,1.1387576e-08,2.7619318e-08
2022-01-01 03:00:00,60.0,40.5,-5.0,1.6300074e-08,2.0789155e-08
2022-01-01 03:00:00,60.0,40.5,-4.25,2.2650688e-08,1.186233e-08
2022-01-01 03:00:00,60.0,40.5,-3.5,2.2608845e-08,1.012371e-08
2022-01-01 03:00:00,60.0,40.5,-2.75,1.5532638e-08,1.6946604e-08
2022-01-01 03:00:00,60.0,40.5,-2.0,9.040231e-09,2.6339162e-08
2022-01-01 03:00:00,60.0,40.5,-1.25,8.764746e-09,3.0126007e-08
2022-01-01 03:00:00,60.0,40.5,-0.5,1.2798668e-08,2.5000897e-08
2022-01-01 03:00:00,60.0,40.5,0.25,1.42812935e-08,2.371522e-08
2022-01-01 03:00:00,60.0,40.5,1.0,7.5668245e-09,3.698651e-08
2022-01-01 03:00:00,60.0,40.5,1.75,6.0895813e-09,4.3151093e-08
2022-01-01 03:00:00,60.0,40.5,2.5,5.787526e-09,4.700281e-08
2022-01-01 03:00:00,60.0,40.5,3.25,4.203872e-09,5.0696404e-08
2022-01-01 03:00:00,60.0,39.75,-9.5,9.471974e-09,3.8198625e-08
2022-01-01 03:00:00,60.0,39.75,-8.75,1.1555104e-08,2.8303436e-08
2022-01-01 03:00:00,60.0,39.75,-8.0,1.0527933e-08,2.4938434e-08
2022-01-01 03:00:00,60.0,39.75,-7.25,6.9532566e-09,2.9660075e-08
2022-01-01 03:00:00,60.0,39.75,-6.5,7.973354e-09,2.8467088e-08
2022-01-01 03:00:00,60.0,39.75,-5.75,1.0144475e-08,2.4347589e-08
2022-01-01 03:00:00,60.0,39.75,-5.0,1.2782745e-08,1.8977769e-08
2022-01-01 03:00:00,60.0,39.75,-4.25,1.5484343e-08,1.4216855e-08
2022-01-01 03:00:00,60.0,39.75,-3.5,1.503091e-08,1.4332368e-08
2022-01-01 03:00:00,60.0,39.75,-2.75,1.4120839e-08,1.7455985e-08
2022-01-01 03:00:00,60.0,39.75,-2.0,1.727022e-08,1.7966453e-08
2022-01-01 03:00:00,60.0,39.75,-1.25,1.870086e-08,1.8535719e-08
2022-01-01 03:00:00,60.0,39.75,-0.5,1.6224611e-08,2.3622174e-08
2022-01-01 03:00:00,60.0,39.75,0.25,1.3799617e-08,3.2340512e-08
2022-01-01 03:00:00,60.0,39.75,1.0,5.9105565e-09,4.6134662e-08
2022-01-01 03:00:00,60.0,39.75,1.75,3.5400083e-09,5.1868962e-08
2022-01-01 03:00:00,60.0,39.75,2.5,3.5426622e-09,5.393093e-08
2022-01-01 03:00:00,60.0,39.75,3.25,3.5867762e-09,5.5035517e-08
2022-01-01 03:00:00,60.0,39.0,-9.5,1.54706e-08,3.1784214e-08
2022-01-01 03:00:00,60.0,39.0,-8.75,1.5106298e-08,2.5885566e-08
2022-01-01 03:00:00,60.0,39.0,-8.0,8.506556e-09,2.7375268e-08
2022-01-01 03:00:00,60.0,39.0,-7.25,8.102709e-09,2.5436183e-08
2022-01-01 03:00:00,60.0,39.0,-6.5,9.381419e-09,2.2594666e-08
2022-01-01 03:00:00,60.0,39.0,-5.75,9.32869e-09,2.1362137e-08
2022-01-01 03:00:00,60.0,39.0,-5.0,1.0109832e-08,2.0412013e-08
2022-01-01 03:00:00,60.0,39.0,-4.25,1.1523944e-08,1.9606613e-08
2022-01-01 03:00:00,60.0,39.0,-3.5,1.1430017e-08,2.1330134e-08
2022-01-01 03:00:00,60.0,39.0,-2.75,1.0978215e-08,2.4234335e-08
2022-01-01 03:00:00,60.0,39.0,-2.0,1.2708784e-08,2.3132134e-08
2022-01-01 03:00:00,60.0,39.0,-1.25,1.5539257e-08,1.8852806e-08
2022-01-01 03:00:00,60.0,39.0,-0.5,1.5113958e-08,2.4878059e-08
2022-01-01 03:00:00,60.0,39.0,0.25,8.967496e-09,4.5286757e-08
2022-01-01 03:00:00,60.0,39.0,1.0,3.3782e-09,5.6829844e-08
2022-01-01 03:00:00,60.0,39.0,1.75,1.9271686e-09,6.041674e-08
